						
	Accessible in game	True Pacifist	Not accessible	TODO		
gml_Object_object391_Alarm_5						
gml_Object_object391_Alarm_3						
gml_Object_object391_Step_0						
gml_Object_object391_Other_0						
gml_Object_obj_testmonster_Create_0						
gml_Object_obj_testmonster_Destroy_0						
gml_Object_obj_testmonster_Alarm_8						
gml_Object_obj_testmonster_Alarm_6						
gml_Object_obj_testmonster_Alarm_5						
gml_Object_obj_testmonster_Alarm_3						
gml_Object_obj_testmonster_Step_0						
gml_Object_obj_whimsun_Create_0						
gml_Object_obj_whimsun_Destroy_0						
gml_Object_obj_whimsun_Alarm_6						
gml_Object_obj_whimsun_Alarm_5						
gml_Object_obj_whimsun_Alarm_3						
gml_Object_obj_whimsun_Step_0						
gml_Object_obj_whimsun_Other_0						
gml_Object_obj_migosp_Create_0						
gml_Object_obj_migosp_Destroy_0						
gml_Object_obj_migosp_Alarm_8						
gml_Object_obj_migosp_Alarm_7						
gml_Object_obj_migosp_Alarm_6						
gml_Object_obj_migosp_Alarm_5						
gml_Object_obj_migosp_Alarm_3						
gml_Object_obj_migosp_Step_0						
gml_Object_obj_migosp_Other_0						
gml_Object_obj_vegetoid_Create_0						
gml_Object_obj_vegetoid_Destroy_0						
gml_Object_obj_vegetoid_Alarm_6						
gml_Object_obj_vegetoid_Alarm_5						
gml_Object_obj_vegetoid_Alarm_3						
gml_Object_obj_vegetoid_Step_0						
gml_Object_obj_vegetoid_Other_0						
gml_Object_obj_loox_Create_0						
gml_Object_obj_loox_Destroy_0						
gml_Object_obj_loox_Alarm_7						
gml_Object_obj_loox_Alarm_6						
gml_Object_obj_loox_Alarm_5						
gml_Object_obj_loox_Alarm_3						
gml_Object_obj_loox_Step_0						
gml_Object_obj_loox_Other_7						
gml_Object_obj_loox_Other_0						
gml_Object_obj_napstablook_Create_0						
gml_Object_obj_napstablook_Destroy_0						
gml_Object_obj_napstablook_Alarm_11						
gml_Object_obj_napstablook_Alarm_10						
gml_Object_obj_napstablook_Alarm_9						
gml_Object_obj_napstablook_Alarm_8						
gml_Object_obj_napstablook_Alarm_7						
gml_Object_obj_napstablook_Alarm_6						
gml_Object_obj_napstablook_Alarm_5						
gml_Object_obj_napstablook_Alarm_3						
gml_Object_obj_napstablook_Step_0						
gml_Object_obj_napstablook_Other_0						
gml_Object_obj_torielboss_Create_0						
gml_Object_obj_torielboss_Destroy_0						
gml_Object_obj_torielboss_Alarm_11						
gml_Object_obj_torielboss_Alarm_10						
gml_Object_obj_torielboss_Alarm_9						
gml_Object_obj_torielboss_Alarm_8						
gml_Object_obj_torielboss_Alarm_7						
gml_Object_obj_torielboss_Alarm_6						
gml_Object_obj_torielboss_Alarm_5						
gml_Object_obj_torielboss_Alarm_3						
gml_Object_obj_torielboss_Alarm_2						
gml_Object_obj_torielboss_Step_0						
gml_Object_obj_torielboss_Other_0						
gml_Object_obj_moldsmal_Create_0						
gml_Object_obj_moldsmal_Destroy_0						
gml_Object_obj_moldsmal_Alarm_6						
gml_Object_obj_moldsmal_Alarm_5						
gml_Object_obj_moldsmal_Alarm_3						
gml_Object_obj_moldsmal_Step_0						
gml_Object_obj_froggit_Alarm_6						
gml_Object_obj_froggit_Alarm_5						
gml_Object_obj_froggit_Step_0						
gml_Object_obj_froglegs_Create_0						
gml_Object_obj_froghead_Create_0						
gml_Object_obj_icecap_Create_0						
gml_Object_obj_icecap_Destroy_0						
gml_Object_obj_icecap_Alarm_6						
gml_Object_obj_icecap_Alarm_5						
gml_Object_obj_icecap_Alarm_3						
gml_Object_obj_icecap_Step_0						
gml_Object_obj_jerry_Create_0						
gml_Object_obj_jerry_Destroy_0						
gml_Object_obj_jerry_Alarm_10						
gml_Object_obj_jerry_Alarm_6						
gml_Object_obj_jerry_Alarm_5						
gml_Object_obj_jerry_Alarm_3						
gml_Object_obj_jerry_Step_0						
gml_Object_obj_icecube_Create_0						
gml_Object_obj_icecube_Destroy_0						
gml_Object_obj_icecube_Alarm_6						
gml_Object_obj_icecube_Alarm_5						
gml_Object_obj_icecube_Alarm_3						
gml_Object_obj_icecube_Step_0						
gml_Object_obj_lesserdoge_Create_0						
gml_Object_obj_lesserdoge_Destroy_0						
gml_Object_obj_lesserdoge_Alarm_8						
gml_Object_obj_lesserdoge_Alarm_6						
gml_Object_obj_lesserdoge_Alarm_5						
gml_Object_obj_lesserdoge_Alarm_3						
gml_Object_obj_lesserdoge_Step_0						
gml_Object_obj_lesserdoge_Other_5						
gml_Object_obj_lesserdoge_Other_0						
gml_Object_obj_lesserdoge_KeyPress_74						
gml_Object_obj_lesserdogetail_Create_0						
gml_Object_obj_lesserdogehead_Create_0						
gml_Object_obj_lesserdogehead_Draw_0						
gml_Object_obj_dogeBtail_Create_0						
gml_Object_obj_dogeBtail_Step_1						
gml_Object_obj_greatdog_Create_0						
gml_Object_obj_greatdog_Destroy_0						
gml_Object_obj_greatdog_Alarm_8						
gml_Object_obj_greatdog_Alarm_6						
gml_Object_obj_greatdog_Alarm_5						
gml_Object_obj_greatdog_Alarm_3						
gml_Object_obj_greatdog_Step_0						
gml_Object_obj_glydeshot_Create_0						
gml_Object_obj_glydeshot_Draw_0						
gml_Object_obj_bigglydeshot_Create_0						
gml_Object_obj_bigglydeshot_Alarm_8						
gml_Object_obj_bigglydeshot_Collision_743						
gml_Object_obj_bigglydeshot_Draw_0						
gml_Object_obj_glyde_body_Create_0						
gml_Object_obj_glyde_body_Alarm_1						
gml_Object_obj_glyde_body_Draw_0						
gml_Object_obj_glydeb_Create_0						
gml_Object_obj_glydeb_Destroy_0						
gml_Object_obj_glydeb_Alarm_9						
gml_Object_obj_glydeb_Alarm_8						
gml_Object_obj_glydeb_Alarm_6						
gml_Object_obj_glydeb_Alarm_5						
gml_Object_obj_glydeb_Alarm_3						
gml_Object_obj_glydeb_Step_0						
gml_Object_obj_papyrusdeadhead_Create_0						
gml_Object_obj_papyrusdeadhead_Step_0						
gml_Object_obj_papyrusdeadbody_Create_0						
gml_Object_obj_papyrusdeadbody_Step_0						
gml_Object_obj_papyrusbody_Create_0						
gml_Object_obj_papyrusbody_Step_0						
gml_Object_obj_papyrusboss_Create_0						
gml_Object_obj_papyrusboss_Destroy_0						
gml_Object_obj_papyrusboss_Alarm_10						
gml_Object_obj_papyrusboss_Alarm_9						
gml_Object_obj_papyrusboss_Alarm_8						
gml_Object_obj_papyrusboss_Alarm_7						
gml_Object_obj_papyrusboss_Alarm_6						
gml_Object_obj_papyrusboss_Alarm_5						
gml_Object_obj_papyrusboss_Alarm_3						
gml_Object_obj_papyrusboss_Step_0						
gml_Object_obj_papyrusboss_Other_13						
gml_Object_obj_papyrusboss_Other_12						
gml_Object_obj_papyrusboss_KeyPress_80						
gml_Object_obj_papyrusboss_KeyPress_79						
gml_Object_obj_papyrusboss_KeyPress_32						
gml_Object_obj_gyftrotgift_Create_0						
gml_Object_obj_gyftrotgift_Alarm_0						
gml_Object_obj_gyftrotgift_Step_0						
gml_Object_obj_gyfcloud_Create_0						
gml_Object_obj_gyfcloud_Step_0						
gml_Object_obj_gyftrot_Create_0						
gml_Object_obj_gyftrot_Destroy_0						
gml_Object_obj_gyftrot_Alarm_8						
gml_Object_obj_gyftrot_Alarm_6						
gml_Object_obj_gyftrot_Alarm_5						
gml_Object_obj_gyftrot_Alarm_3						
gml_Object_obj_gyftrot_Step_0						
gml_Object_obj_gyftrothead_Create_0						
gml_Object_obj_gyftrothead_Destroy_0						
gml_Object_obj_gyftrothead_Alarm_4						
gml_Object_obj_gyftrothead_Alarm_3						
gml_Object_obj_gyftrothead_Alarm_2						
gml_Object_obj_gyftrothead_Alarm_1						
gml_Object_obj_gyftrotbody_Create_0						
gml_Object_obj_gyftrotmouth_Create_0						
gml_Object_obj_gyftrotmouth_Alarm_2						
gml_Object_obj_gyftrotmouth_Alarm_1						
gml_Object_obj_gyftrotmouth_Alarm_0						
gml_Object_obj_gyftrotmouth_Step_0						
gml_Object_obj_greatdogbody_Create_0						
gml_Object_obj_greatdogbody_Step_0						
gml_Object_obj_greatdogbody_Draw_0						
gml_Object_obj_dogeB_Create_0						
gml_Object_obj_dogeB_Destroy_0						
gml_Object_obj_dogeB_Alarm_8						
gml_Object_obj_dogeB_Alarm_6						
gml_Object_obj_dogeB_Alarm_5						
gml_Object_obj_dogeB_Alarm_3						
gml_Object_obj_dogeB_Step_0						
gml_Object_obj_dogeB_Other_0						
gml_Object_obj_mandogbody_Create_0						
gml_Object_obj_mandogbody_Step_0						
gml_Object_obj_womandogbody_Create_0						
gml_Object_obj_womandogbody_Step_0						
gml_Object_obj_mandogax_Create_0						
gml_Object_obj_womandogax_Create_0						
gml_Object_obj_mandog_Create_0						
gml_Object_obj_mandog_Destroy_0						
gml_Object_obj_mandog_Alarm_8						
gml_Object_obj_mandog_Alarm_6						
gml_Object_obj_mandog_Alarm_5						
gml_Object_obj_mandog_Alarm_3						
gml_Object_obj_mandog_Step_0						
gml_Object_obj_womandog_Create_0						
gml_Object_obj_womandog_Destroy_0						
gml_Object_obj_womandog_Alarm_8						
gml_Object_obj_womandog_Alarm_6						
gml_Object_obj_womandog_Alarm_5						
gml_Object_obj_womandog_Alarm_3						
gml_Object_obj_womandog_Step_0						
gml_Object_obj_movedoge_Create_0						
gml_Object_obj_movedoge_Destroy_0						
gml_Object_obj_movedoge_Alarm_8						
gml_Object_obj_movedoge_Alarm_6						
gml_Object_obj_movedoge_Alarm_5						
gml_Object_obj_movedoge_Alarm_3						
gml_Object_obj_movedoge_Step_0						
gml_Object_obj_movedogehead_Create_0						
gml_Object_obj_movedogehead_Alarm_3						
gml_Object_obj_movedogehead_Alarm_2						
gml_Object_obj_movedogehead_Alarm_1						
gml_Object_obj_movedogehead_Alarm_0						
gml_Object_obj_movedogehead_Step_0						
gml_Object_obj_movedogebody_Create_0						
gml_Object_obj_movedogebody_Step_0						
gml_Object_obj_movedogearms_Create_0						
gml_Object_obj_movedogearms_Step_0						
gml_Object_obj_movedogetail_Create_0						
gml_Object_obj_movedogetail_Step_0						
gml_Object_obj_snowdrake_Create_0						
gml_Object_obj_snowdrake_Destroy_0						
gml_Object_obj_snowdrake_Alarm_8						
gml_Object_obj_snowdrake_Alarm_6						
gml_Object_obj_snowdrake_Alarm_5						
gml_Object_obj_snowdrake_Alarm_3						
gml_Object_obj_snowdrake_Step_0						
gml_Object_obj_chilldrake_Create_0						
gml_Object_obj_chilldrake_Destroy_0						
gml_Object_obj_chilldrake_Alarm_8						
gml_Object_obj_chilldrake_Alarm_6						
gml_Object_obj_chilldrake_Alarm_5						
gml_Object_obj_chilldrake_Alarm_3						
gml_Object_obj_chilldrake_Step_0						
gml_Object_obj_drakehead_Create_0						
gml_Object_obj_drakehead_Step_0						
gml_Object_obj_drakehead_Draw_0						
gml_Object_obj_drakebody_Create_0						
gml_Object_obj_drakebody_Draw_0						
gml_Object_obj_woshua_Create_0						
gml_Object_obj_woshua_Destroy_0						
gml_Object_obj_woshua_Alarm_8						
gml_Object_obj_woshua_Alarm_6						
gml_Object_obj_woshua_Alarm_5						
gml_Object_obj_woshua_Alarm_3						
gml_Object_obj_woshua_Step_0						
gml_Object_obj_woshpart_Alarm_8						
gml_Object_obj_woshbody_Create_0						
gml_Object_obj_woshbody_Destroy_0						
gml_Object_obj_woshbody_Alarm_4						
gml_Object_obj_woshbody_Alarm_2						
gml_Object_obj_woshbody_Alarm_1						
gml_Object_obj_woshbody_Draw_0						
gml_Object_obj_shyren_Create_0						
gml_Object_obj_shyren_Destroy_0						
gml_Object_obj_shyren_Alarm_8						
gml_Object_obj_shyren_Alarm_6						
gml_Object_obj_shyren_Alarm_5						
gml_Object_obj_shyren_Alarm_3						
gml_Object_obj_shyren_Step_0						
gml_Object_obj_shyren_Other_5						
gml_Object_obj_shyren_KeyPress_51						
gml_Object_obj_shyrenbody_Create_0						
gml_Object_obj_shyrenbody_Step_0						
gml_Object_obj_agentbody_Create_0						
gml_Object_obj_undynesiner2_Create_0						
gml_Object_obj_undynesiner2_Destroy_0						
gml_Object_obj_undynesiner2_Other_11						
gml_Object_obj_undynesiner2_Other_5						
gml_Object_obj_undynesiner2_Draw_0						
gml_Object_obj_spearblocker_Create_0						
gml_Object_obj_spearblocker_Step_0						
gml_Object_obj_spearblocker_Other_15						
gml_Object_obj_spearblocker_Other_14						
gml_Object_obj_spearblocker_Other_11						
gml_Object_obj_spearblocker_Draw_0						
gml_Object_obj_spearblocker_KeyPress_90						
gml_Object_obj_spearblocker_KeyPress_88						
gml_Object_obj_spearblocker_KeyPress_83						
gml_Object_obj_spearblocker_KeyPress_65						
gml_Object_obj_greenspeargen_Create_0						
gml_Object_obj_greenspeargen_Alarm_1						
gml_Object_obj_greenspeargen_Alarm_0						
gml_Object_obj_greenspeargen_Draw_0						
gml_Object_obj_blockbullet_Create_0						
gml_Object_obj_blockbullet_Alarm_0						
gml_Object_obj_blockbullet_Step_0						
gml_Object_obj_blockbullet_Draw_0						
gml_Object_obj_blockbullet2_Create_0						
gml_Object_obj_blockbullet2_Alarm_0						
gml_Object_obj_blockbullet2_Step_0						
gml_Object_obj_blockbullet2_Draw_0						
gml_Object_obj_boxsiner_Create_0						
gml_Object_obj_boxsiner_Draw_0						
gml_Object_obj_risespearbullet_Create_0						
gml_Object_obj_risespearbullet_Alarm_1						
gml_Object_obj_risespearbullet_Alarm_0						
gml_Object_obj_risespearbullet_Step_0						
gml_Object_obj_risespearbullet_Collision_743						
gml_Object_obj_risespearbullet_Draw_0						
gml_Object_obj_risespearbulletgen_Create_0						
gml_Object_obj_risespearbulletgen_Alarm_0						
gml_Object_obj_risespearbulletgen_Step_0						
gml_Object_obj_spearbulletfollowgen_Create_0						
gml_Object_obj_spearbulletfollowgen_Alarm_0						
gml_Object_obj_spearbulletfollowgen_Step_0						
gml_Object_obj_spearbullet_follow_Create_0						
gml_Object_obj_spearbullet_follow_Step_0						
gml_Object_obj_spearbullet_follow_Other_0						
gml_Object_obj_spearbullet_follow_Draw_0						
gml_Object_obj_undyneboss_Create_0						
gml_Object_obj_undyneboss_Destroy_0						
gml_Object_obj_undyneboss_Alarm_11						
gml_Object_obj_undyneboss_Alarm_10						
gml_Object_obj_undyneboss_Alarm_9						
gml_Object_obj_undyneboss_Alarm_7						
gml_Object_obj_undyneboss_Alarm_6						
gml_Object_obj_undyneboss_Alarm_5						
gml_Object_obj_undyneboss_Alarm_4						
gml_Object_obj_undyneboss_Alarm_3						
gml_Object_obj_undyneboss_Step_0						
gml_Object_obj_undyneboss_Other_12						
gml_Object_obj_undyneboss_Other_11						
gml_Object_obj_undyneboss_KeyPress_65						
gml_Object_obj_undyneboss_KeyPress_55						
gml_Object_obj_undyneb_body_Create_0						
gml_Object_obj_undyneb_body_Destroy_0						
gml_Object_obj_undyneb_body_Alarm_1						
gml_Object_obj_undyneb_body_Alarm_0						
gml_Object_obj_undyneb_body_Other_14						
gml_Object_obj_undyneb_body_Other_13						
gml_Object_obj_undyneb_body_Other_12						
gml_Object_obj_undyneb_body_Other_11						
gml_Object_obj_undyneb_body_Draw_0						
gml_Object_obj_undynebody2_Create_0						
gml_Object_obj_undynebody2_Draw_0						
gml_Object_obj_undynebattle2_Create_0						
gml_Object_obj_undynebattle2_Destroy_0						
gml_Object_obj_undynebattle2_Alarm_9						
gml_Object_obj_undynebattle2_Alarm_8						
gml_Object_obj_undynebattle2_Alarm_6						
gml_Object_obj_undynebattle2_Alarm_5						
gml_Object_obj_undynebattle2_Alarm_4						
gml_Object_obj_undynebattle2_Alarm_3						
gml_Object_obj_undynebattle2_Step_0						
gml_Object_obj_rotspeargen_gen_Create_0						
gml_Object_obj_rotspeargen_gen_Alarm_0						
gml_Object_obj_rotspeargen_gen_Step_0						
gml_Object_obj_rotspeargen_Create_0						
gml_Object_obj_rotspeargen_Alarm_0						
gml_Object_obj_rotspeargen_Step_0						
gml_Object_obj_rotspear_Create_0						
gml_Object_obj_rotspear_Step_0						
gml_Object_obj_rotspear_Draw_0						
gml_Object_obj_followspeargen_2_Create_0						
gml_Object_obj_followspeargen_2_Alarm_0						
gml_Object_obj_followspeargen_2_Step_0						
gml_Object_obj_followspear_2_Create_0						
gml_Object_obj_followspear_2_Step_0						
gml_Object_obj_followspear_2_Other_0						
gml_Object_obj_followspear_2_Draw_0						
gml_Object_obj_undynex_body_Create_0						
gml_Object_obj_undynex_body_Alarm_1						
gml_Object_obj_undynex_body_Other_11						
gml_Object_obj_undynex_body_Draw_64						
gml_Object_obj_undynex_body_Draw_0						
gml_Object_obj_undyne_ex_Create_0						
gml_Object_obj_undyne_ex_Destroy_0						
gml_Object_obj_undyne_ex_Alarm_11						
gml_Object_obj_undyne_ex_Alarm_10						
gml_Object_obj_undyne_ex_Alarm_9						
gml_Object_obj_undyne_ex_Alarm_7						
gml_Object_obj_undyne_ex_Alarm_6						
gml_Object_obj_undyne_ex_Alarm_5						
gml_Object_obj_undyne_ex_Alarm_4						
gml_Object_obj_undyne_ex_Alarm_3						
gml_Object_obj_undyne_ex_Step_0						
gml_Object_obj_undyne_ex_Other_12						
gml_Object_obj_undyne_ex_Other_11						
gml_Object_obj_undyne_ex_KeyPress_65						
gml_Object_obj_undyne_ex_KeyPress_55						
gml_Object_obj_mkid_b_body_Create_0						
gml_Object_obj_mkid_b_body_Draw_0						
gml_Object_obj_mkid_battle_Create_0						
gml_Object_obj_mkid_battle_Destroy_0						
gml_Object_obj_mkid_battle_Alarm_9						
gml_Object_obj_mkid_battle_Alarm_8						
gml_Object_obj_mkid_battle_Alarm_6						
gml_Object_obj_mkid_battle_Alarm_5						
gml_Object_obj_mkid_battle_Alarm_4						
gml_Object_obj_mkid_battle_Alarm_3						
gml_Object_obj_mkid_battle_Step_0						
gml_Object_obj_generalsiner_Create_0						
gml_Object_obj_generalsiner_Destroy_0						
gml_Object_obj_generalsiner_Other_11						
gml_Object_obj_generalsiner_Other_5						
gml_Object_obj_generalsiner_Draw_0						
gml_Object_obj_gladdummy_Create_0						
gml_Object_obj_gladdummy_Destroy_0						
gml_Object_obj_gladdummy_Alarm_7						
gml_Object_obj_gladdummy_Alarm_6						
gml_Object_obj_gladdummy_Alarm_5						
gml_Object_obj_gladdummy_Alarm_3						
gml_Object_obj_gladdummy_Step_0						
gml_Object_obj_gladdummy_Other_0						
gml_Object_obj_maddummy_Create_0						
gml_Object_obj_maddummy_Destroy_0						
gml_Object_obj_maddummy_Alarm_11						
gml_Object_obj_maddummy_Alarm_10						
gml_Object_obj_maddummy_Alarm_9						
gml_Object_obj_maddummy_Alarm_8						
gml_Object_obj_maddummy_Alarm_7						
gml_Object_obj_maddummy_Alarm_6						
gml_Object_obj_maddummy_Alarm_5						
gml_Object_obj_maddummy_Alarm_4						
gml_Object_obj_maddummy_Alarm_3						
gml_Object_obj_maddummy_Step_0						
gml_Object_obj_maddummy_Other_17						
gml_Object_obj_maddummy_Other_13						
gml_Object_obj_maddummy_Draw_0						
gml_Object_obj_maddummy_KeyPress_65						
gml_Object_obj_maddum_drawer_Create_0						
gml_Object_obj_maddum_drawer_Alarm_0						
gml_Object_obj_maddum_drawer_Other_12						
gml_Object_obj_maddum_drawer_Other_11						
gml_Object_obj_maddum_drawer_Other_10						
gml_Object_obj_maddum_drawer_Draw_0						
gml_Object_obj_aaron_Create_0						
gml_Object_obj_aaron_Destroy_0						
gml_Object_obj_aaron_Alarm_8						
gml_Object_obj_aaron_Alarm_6						
gml_Object_obj_aaron_Alarm_5						
gml_Object_obj_aaron_Alarm_3						
gml_Object_obj_aaron_Step_0						
gml_Object_obj_aaronbody_Create_0						
gml_Object_obj_aaronbody_Step_0						
gml_Object_obj_tembattle_Create_0						
